,Model,R2,MAE,SRC,MSE,RMSE,MAPE
Output_0,RandomForestRegressor_QuantileTransformer,0.7988306119758006,9.803356551005933,0.8622618859709681,176.9935791076508,13.303893381550033,inf
Output_1,BayesianRidge_QuantileTransformer,0.1036257497649562,20.900967475490752,0.40205588402593634,930.9625224538064,30.511678460120912,inf
Output_2,SVR_RobustScaler,0.0744093494742718,19.782614280047085,0.38672066273215944,855.9622844657731,29.25683312434504,inf
Output_3,SVR_RobustScaler,0.08851266759924314,19.884478378739935,0.39352796430968323,857.4934483581104,29.282989061195757,inf
Output_4,SGDRegressor_MinMaxScaler,0.1219579314027055,19.830441805352958,0.4336501861576159,828.3751701590967,28.781507433751568,inf
Output_5,SGDRegressor_MinMaxScaler,0.11942290361699937,19.648645551878445,0.4404771487288052,839.8903558268145,28.980861888957243,inf
Output_6,SGDRegressor_MinMaxScaler,0.11508899915296433,19.48928288132775,0.42815155818101136,820.2948132458037,28.640789326514792,inf
Output_7,KernelRidge_QuantileTransformer,0.20350056136445716,19.372301241050387,0.5210061829671248,776.1454695458903,27.85938745819603,inf
Output_8,SGDRegressor_RobustScaler,0.2686570523455839,21.988707003655183,0.5932087152253408,942.6401459049458,30.702445275660793,inf
Output_9,KernelRidge_QuantileTransformer,0.13878080715554608,27.2094366328636,0.4279965403936488,1444.8071555339618,38.010618983830845,389.0127858264222
Output_10,PassiveAggressiveRegressor_QuantileTransformer,0.1799371259714132,25.97184518352762,0.46798707676970214,1206.4373373086942,34.733806835829185,679.1422337943187
Output_11,SVR_QuantileTransformer,0.10161645632563765,24.96640429466785,0.3897807294192348,1291.8457530752346,35.94225581506028,inf
Output_12,SVR_QuantileTransformer,0.09438904140081628,24.341755583326606,0.3803019664151527,1253.0722940918158,35.3987611943104,inf
Output_13,PassiveAggressiveRegressor_QuantileTransformer,0.0906543285890854,23.855491544794322,0.3906716050642051,1185.870458901073,34.43646989604296,inf
Output_14,SVR_QuantileTransformer,0.09806806534132773,23.128695133117805,0.4060388218730786,1160.1409742586768,34.0608422423562,inf
Output_15,SGDRegressor_StandardScaler,0.15768158031794077,21.75227397392117,0.45819448404678326,1051.8735828082492,32.43260061740731,inf
Output_16,SGDRegressor_StandardScaler,0.198773588808007,20.96202735038632,0.48049973467265905,943.1072527017691,30.710051330171513,inf
Output_17,SGDRegressor_StandardScaler,0.23632127344903864,22.85822136482386,0.4779309032111995,1048.2717797462055,32.377025492565025,inf
Output_18,KernelRidge_QuantileTransformer,0.23447481598908515,25.109349884547406,0.5145515981685859,1181.822554419926,34.377646144259586,25.713801034123673
Output_19,SVR_QuantileTransformer,0.125892392725085,29.05448783822294,0.4442654790002271,1742.8382760160434,41.74731459646289,21.520457621819215
Output_20,SVR_RobustScaler,0.06454098815772502,27.668590007025806,0.3440850199079652,1558.2494389474768,39.4746683196639,20.90594247960508
Output_21,SVR_QuantileTransformer,0.08543443490536473,23.10496235351321,0.3910518627159973,1044.894514695865,32.3248281464243,19.73581981232014
Output_22,PassiveAggressiveRegressor_QuantileTransformer,0.13459831863476746,20.957311168826386,0.4768613895723178,899.3974765266819,29.98995626083309,20.463712160283198
Output_23,Ridge_QuantileTransformer,0.1533194304458767,17.351243865374098,0.46730216109980866,608.3051309325001,24.663842582462696,296.2640547456853
