,Model,R2,MAE,SRC,MSE,RMSE,MAPE
Output_0,LinearRegression_StandardScaler,0.5289314034779609,4.790199356654179,0.7424454130348757,49.87676724546213,7.06234856442686,inf
Output_1,ElasticNet_MinMaxScaler,0.33063373293045095,7.2355338403194835,0.6281647673296678,122.05598911570235,11.047895234645482,inf
Output_2,RandomForestRegressor_QuantileTransformer,0.37204719532481323,7.377132099531458,0.6490900057097821,129.99822342546864,11.401676342778226,inf
Output_3,SVR_RobustScaler,0.30724905251246226,7.8481811647488176,0.6350256045546088,156.3174093763728,12.50269608430009,inf
Output_4,SVR_RobustScaler,0.2440321806128103,7.59102135839691,0.6001427076739558,153.55418592831083,12.391698266513385,inf
Output_5,Lasso_RobustScaler,0.28026480287511046,8.270956826449805,0.5711799074751445,145.26844298069338,12.05273591267532,inf
Output_6,PassiveAggressiveRegressor_StandardScaler,0.21010826319174492,8.617829665057364,0.519714984924144,164.7401209279191,12.835112813213568,inf
Output_7,SVR_QuantileTransformer,0.10145629014439694,9.826143858497025,0.39572253034622834,210.2038108546006,14.498407183363302,inf
Output_8,SVR_RobustScaler,0.15272778554446187,9.270693115540588,0.40603727739813816,187.89182318737204,13.70736383070691,inf
Output_9,RandomForestRegressor_RobustScaler,0.2512123160558044,10.314516267892278,0.5793038203591234,224.88671241736117,14.996223271789507,inf
Output_10,LGBMRegressor_MinMaxScaler,0.22248791879223406,13.172251632538982,0.5574510836320665,349.28104894296587,18.689062280996495,210.70917214478206
Output_11,KernelRidge_MinMaxScaler,0.1752172680460482,13.915320675958478,0.4713946234748601,366.94200694900695,19.155730394558358,23.184220914800253
Output_12,SVR_StandardScaler,0.12067122436205435,12.893318727829639,0.5182360604775099,419.7495673250077,20.487790689213117,20.138251824568826
Output_13,SVR_RobustScaler,0.03804047572387237,13.25845004018368,0.4621476215802934,431.0925910314391,20.762769348799285,21.188258719179863
Output_14,PassiveAggressiveRegressor_MinMaxScaler,0.0709865806610771,13.878127677494774,0.461190205786803,481.3906190043276,21.940615738951532,22.440199550731712
Output_15,RandomForestRegressor_RobustScaler,0.27655329372341175,10.48733127258577,0.5439466094709792,263.55787186526555,16.23446555527054,21.433081089362492
Output_16,RandomForestRegressor_QuantileTransformer,0.20437846147925054,9.383627811822388,0.44903601834265755,210.25146605582273,14.500050553560934,20.18552278380949
Output_17,RandomForestRegressor_StandardScaler,0.09261995941525492,10.80978791936987,0.3756300715019235,292.7916528531953,17.11115580120745,21.837062341906734
Output_18,PassiveAggressiveRegressor_MinMaxScaler,0.11162684352860841,12.626876575080757,0.39876218701603067,387.843980740537,19.693754866468126,20.62062683401518
Output_19,SVR_QuantileTransformer,-0.046557733291961556,18.49936439390323,0.2503009593966986,1421.8747798127645,37.707754902841465,21.876713102169827
Output_20,SVR_QuantileTransformer,0.06916535884750075,16.161593658577694,0.4725314939834489,948.3261567214403,30.79490472012278,19.80583746824598
Output_21,SVR_StandardScaler,0.17387056947700308,11.884503788947509,0.5030582977323427,395.2485951427609,19.88086002019935,17.69491706102007
Output_22,Ridge_MinMaxScaler,0.2334446904188201,8.016525260009647,0.5081897920898522,116.22961440471765,10.780983925631169,15.280131528154023
Output_23,PassiveAggressiveRegressor_MinMaxScaler,0.28448935478373893,7.08432315452557,0.5537424152302468,90.04768008004936,9.48934560863126,16.655399021198722
