,Model,R2,MAE,SRC,MSE,RMSE,MAPE
Output_0,LinearRegression_MinMaxScaler,0.5340569997593525,4.817443403827661,0.7434365621682029,49.42854160395533,7.030543478562332,inf
Output_1,Ridge_MinMaxScaler,0.15146326570957103,8.600621110540242,0.44122595690467276,153.89538393997594,12.40545782871297,inf
Output_2,SGDRegressor_RobustScaler,0.1177859459036793,9.041259468433019,0.44801356254687763,180.12181245853864,13.420946779513681,inf
Output_3,SGDRegressor_RobustScaler,0.1308566316700739,9.306372097936178,0.49074492349184234,194.61079492886788,13.950297306110285,inf
Output_4,SGDRegressor_RobustScaler,0.13023684936726554,8.473281442892072,0.5267894623977244,177.13147292857408,13.309074833682997,inf
Output_5,NuSVR_StandardScaler,0.01302003253930295,9.546900441365498,0.32068730408637336,202.1993684311739,14.219682430742745,inf
Output_6,SVR_MinMaxScaler,0.030448794899926024,9.814755309562749,0.23068097599204,204.3236781536546,14.294183367847728,inf
Output_7,SVR_MinMaxScaler,-0.031201079898036443,10.739373303122044,0.25566934140665765,246.091053375021,15.687289548389836,inf
Output_8,SVR_MinMaxScaler,0.048344605295450704,9.884411191373744,0.2893337001034965,211.9115972319631,14.557183698503055,inf
Output_9,RandomForestRegressor_QuantileTransformer,0.11481726472875675,11.421067393265625,0.424868821583976,263.58999809515603,16.235454970377518,inf
Output_10,RandomForestRegressor_QuantileTransformer,0.10064192098459479,14.889873830477418,0.38762323671413534,405.3706357865618,20.133818211818685,224.36240450559194
Output_11,SGDRegressor_QuantileTransformer,-0.05624861798291825,15.355311653976557,0.09884365595355515,455.1817651753896,21.33498922369987,25.14997797419427
Output_12,SVR_StandardScaler,-0.10194259785895476,14.833374395404151,-0.17416019621208662,495.00529369268963,22.248714427865032,23.328995554355423
Output_13,SVR_StandardScaler,-0.11175596138355748,14.683230537807262,-0.04254769845966694,498.34725500576695,22.323692683016557,23.47788431332158
Output_14,SVR_MinMaxScaler,-0.15093682258455043,15.015270493288183,0.08019232742564132,548.7919199245162,23.426308286294624,23.45399271115332
Output_15,SVR_MinMaxScaler,-0.10322552247217365,12.406286962733912,0.13836010693515793,367.80569767113326,19.178261070053594,22.90512171071882
Output_16,SVR_MinMaxScaler,-0.07040688264955719,10.707188459416134,0.15166646623639682,261.3446191827217,16.166156598979292,21.742708221530613
Output_17,SVR_MinMaxScaler,0.008297995695450422,10.753290294756985,0.20154361627601441,287.64410449849163,16.960073835290093,20.84640634650294
Output_18,SVR_MinMaxScaler,-0.01978735043785873,13.118209669189222,0.11105442249377236,442.69145851891597,21.04023427908815,20.39495294916676
Output_19,PassiveAggressiveRegressor_StandardScaler,-0.03357723721477801,18.293821901920595,0.20013324732161528,1252.0887207376666,35.38486570184585,22.443667998352534
Output_20,SVR_MinMaxScaler,0.09148094146920005,16.06326562450408,0.3757690997744129,822.3487374952615,28.676623537216887,20.68007833299928
Output_21,SVR_MinMaxScaler,0.16184086114552498,11.666071861371586,0.4281581409130438,349.37469032121385,18.691567358603553,18.20121735067271
Output_22,ElasticNet_MinMaxScaler,0.16765708099336596,8.349532232988766,0.4328668003386009,126.9349016786354,11.266539028407765,15.891522193654154
Output_23,SGDRegressor_StandardScaler,0.2492906849622608,7.26734014465941,0.5036724305663006,92.43363485964709,9.614241252415454,16.90908067884798
