,Model,R2,MAE,SRC,MSE,RMSE,MAPE
Output_0,RandomForestRegressor_RobustScaler,0.7973025792746584,9.773289545089296,0.8607296650605745,178.28409717919484,13.3523068111542,inf
Output_1,RandomForestRegressor_RobustScaler,0.6542692920033215,12.990024976659459,0.7905035354955111,361.9703446909343,19.025518250258894,inf
Output_2,RandomForestRegressor_RobustScaler,0.6908829288571806,11.869804484188268,0.8278830009237681,288.4745927993625,16.98453981712082,inf
Output_3,RandomForestRegressor_RobustScaler,0.6478975630986278,13.32277175970563,0.8017478750996692,333.84494511345946,18.271424277090702,inf
Output_4,RandomForestRegressor_MinMaxScaler,0.604259078426437,14.102813104712576,0.7544951435374544,375.0406729739321,19.36596687423409,inf
Output_5,RandomForestRegressor_QuantileTransformer,0.5490743766692701,15.225011628783735,0.7091747488428026,428.90084082873165,20.709921313919367,inf
Output_6,MLPRegressor_RobustScaler,0.4796911325845551,15.592580953980825,0.6638460334012956,476.5825657055495,21.830771074461605,inf
Output_7,KernelRidge_MinMaxScaler,0.40567609577329744,17.15105235695305,0.6262122220441378,569.2686966584927,23.859352393945915,inf
Output_8,SGDRegressor_StandardScaler,0.39647943137335195,19.82855512644537,0.6302246433486991,769.9752179943674,27.748427306684743,inf
Output_9,SGDRegressor_StandardScaler,0.3052102562673862,23.706369087985202,0.5795780866953858,1159.9506846534948,34.05804874994301,204.50862808296978
Output_10,ElasticNet_QuantileTransformer,0.28618453032993785,23.64410414531635,0.5675030546884717,1046.0288556357132,32.34236935717161,521.9702356988872
Output_11,PassiveAggressiveRegressor_RobustScaler,0.19490927723494855,23.707710278889007,0.5366882226319137,1164.1003941336214,34.11891548882557,inf
Output_12,SGDRegressor_RobustScaler,0.2305055567704174,22.850582434794887,0.5189684092530568,1071.9597771412452,32.740796831189755,inf
Output_13,PassiveAggressiveRegressor_QuantileTransformer,0.2279922938012131,22.97124509824938,0.5119279676520921,1005.1418973001198,31.703972894577735,inf
Output_14,SVR_StandardScaler,0.1833158576987144,22.367750872494387,0.4566986159671498,1030.3226828885852,32.09863989156838,inf
Output_15,ElasticNet_StandardScaler,0.27030923964660913,20.948122084909095,0.5163370631803281,850.4822550793915,29.163028907837944,inf
Output_16,PassiveAggressiveRegressor_MinMaxScaler,0.28090787241670045,20.087805154458092,0.5226777020218477,802.1642193288096,28.322503761652317,inf
Output_17,ElasticNet_RobustScaler,0.3121667314601825,22.794894814149004,0.5374175414269016,938.3775256384716,30.63294836672552,inf
Output_18,ElasticNet_StandardScaler,0.30608651110907714,25.21326902120977,0.5325767211364185,1086.1064728028657,32.95612951793438,25.55180266451656
Output_19,KernelRidge_QuantileTransformer,0.23251487168063079,28.78114914976395,0.5071510002805322,1548.8955276867885,39.356010058017674,22.124735463863214
Output_20,PassiveAggressiveRegressor_MinMaxScaler,0.0814580098232417,27.684456606920026,0.3729623118666854,1531.5231680166912,39.1346798634752,20.2813078286539
Output_21,SVR_StandardScaler,0.0993481505112328,23.150995893414077,0.3683119355473624,1026.5943368777619,32.04051087104826,19.167313357832416
Output_22,SVR_QuantileTransformer,0.18715930529891422,21.065466986140294,0.4703642041780273,842.6920680295692,29.029158927353876,21.12934853278241
Output_23,SGDRegressor_QuantileTransformer,0.1839272359558788,17.19364471607674,0.48295892634418697,589.5764409481283,24.28119521251226,277.6415866561198
