Feature,Score,p-Value,MAE
ROI-DA_lag_48h,2174.4048957931727,0.0,
ROI-DA_lag_72h,2010.00315185119,0.0,
ROI-DA_lag_49h,1640.6758168219783,0.0,
ROI-DA_lag_73h,1541.7773747309177,1.0209277694643329e-306,
ROI-DA_lag_71h,1530.4517464097041,1.1216356399524066e-304,
ROI-DA_lag_95h,1385.973667080839,2.057623656211653e-278,
ROI-DA_lag_50h,904.1516973417403,1.337183920035378e-187,
ROI-DA_lag_70h,851.7369820175883,2.096537140920238e-177,
ROI-DA_lag_74h,845.602162202761,3.3040484270248816e-176,
hour,823.5699159048563,6.71777467427094e-172,
ROI-DA_lag_94h,759.9096401655393,2.1918881858693632e-159,
Gas_lag_60h,526.0877103457127,1.4575141841585726e-112,
Gas_lag_68h,525.9552038648707,1.5507527853583349e-112,
Gas_lag_61h,525.8669168660265,1.6161650722534885e-112,
Gas_lag_67h,525.7526285567684,1.7049576023872474e-112,
Gas_lag_66h,525.6260735201548,1.8089848497461923e-112,
Gas_lag_59h,525.5536981639967,1.8713062028403988e-112,
Gas_lag_69h,525.5399451103845,1.8833893561338518e-112,
Gas_lag_65h,525.257967558864,2.14907732189873e-112,
Gas_lag_58h,524.9079991149117,2.531547101765849e-112,
Gas_lag_62h,524.623593915459,2.8919852574446556e-112,
Gas_lag_70h,524.3304831573761,3.317247701185256e-112,
Gas_lag_64h,524.0384308648516,3.8031793603909384e-112,
Gas_lag_50h,523.9352146898016,3.991437267492497e-112,
Gas_lag_51h,523.7542789231578,4.34422048902363e-112,
Gas_lag_49h,523.7415381223137,4.370206691844033e-112,
Gas_lag_63h,523.6398494812106,4.58326257857893e-112,
Gas_lag_57h,523.5616597235586,4.75412379275899e-112,
Gas_lag_48h,523.3662722683881,5.209462060578586e-112,
Gas_lag_52h,523.2149718144291,5.591818215910674e-112,
Gas_lag_53h,521.819841247135,1.0745300503879603e-111,
Gas_lag_56h,521.7697899428239,1.1000089432324225e-111,
Gas_lag_71h,521.7027122374919,1.1351054064196612e-111,
Gas_lag_54h,520.3410930042885,2.1475405393265924e-111,
Gas_lag_55h,520.3352229061423,2.153452250047758e-111,
Gas_lag_72h,518.7354406374172,4.555506991968643e-111,
Gas_lag_73h,515.8878740329905,1.729450591741908e-110,
Gas_lag_74h,512.9287325034329,6.921599756866328e-110,
Gas_lag_75h,509.60759955439653,3.28441534139464e-109,
Gas_lag_76h,505.77596490211806,1.9816142906335063e-108,
Gas_lag_77h,500.5621239149438,2.289696253673975e-107,
Gas_lag_78h,494.967395529196,3.1693706669289717e-106,
Gas_lag_79h,489.5702321558174,4.005479534054437e-105,
Gas_lag_80h,485.44746991978064,2.7843423443586508e-104,
Gas_lag_92h,484.982989426602,3.4643389185036795e-104,
Gas_lag_91h,484.92518858030087,3.559836331534333e-104,
Gas_lag_90h,484.9201525994058,3.5682803519883174e-104,
Gas_lag_93h,484.8808594936292,3.634856321984838e-104,
Gas_lag_81h,484.20801103713814,4.988483249282178e-104,
Gas_lag_82h,483.16928461353524,8.132653090427935e-104,
Gas_lag_89h,482.77767013650396,9.77836185864895e-104,
Gas_lag_94h,482.6382103875886,1.0441630921591036e-103,
Gas_lag_83h,482.320574795661,1.2125157207927085e-103,
Gas_lag_84h,482.14228154955504,1.3186468686856556e-103,
Gas_lag_85h,481.0255364406284,2.2304775343581582e-103,
Gas_lag_86h,480.3262001273326,3.1000111245623264e-103,
Gas_lag_88h,479.74516062137104,4.0752581221850816e-103,
Gas_lag_87h,478.99431293198165,5.803327776781164e-103,
Gas_lag_95h,478.6602898836658,6.791690796897521e-103,
ROI-DA_lag_51h,423.8792533091736,1.1859483762552176e-91,
Oil_lag_93h,423.74778206052315,1.2622451615090648e-91,
Oil_lag_92h,423.64837905678456,1.3231745961055464e-91,
Oil_lag_91h,423.36034644965036,1.5168513434823986e-91,
Oil_lag_94h,423.3182226724022,1.5474599356809513e-91,
Oil_lag_90h,422.9705575269374,1.8248667637693048e-91,
Oil_lag_95h,422.1990191619308,2.631259586709092e-91,
Oil_lag_69h,422.0224882946522,2.861082204054668e-91,
Oil_lag_68h,421.9596226489504,2.947686692341729e-91,
Oil_lag_89h,421.63405592363284,3.4399586121179547e-91,
Oil_lag_86h,421.6185621665561,3.465335188033538e-91,
Oil_lag_70h,421.59318053235427,3.507311982610754e-91,
Oil_lag_85h,421.55437998221316,3.5724664777251147e-91,
Oil_lag_67h,421.48998512942023,3.6832822760957094e-91,
Oil_lag_84h,421.2216576971226,4.1832895670657977e-91,
Oil_lag_87h,421.0618567517101,4.512760714275821e-91,
Oil_lag_71h,420.93329618555975,4.796568152677161e-91,
Oil_lag_88h,420.8857792113086,4.9059262832856026e-91,
Oil_lag_83h,420.63273736883275,5.531702349729955e-91,
Oil_lag_72h,420.0341488933505,7.348545682728265e-91,
Oil_lag_82h,420.0167970035575,7.409296949707691e-91,
Oil_lag_66h,419.8233691880567,8.121497141358258e-91,
Oil_lag_73h,418.7686112850712,1.3396917799278476e-90,
Oil_lag_81h,418.5684368833226,1.4731978518983367e-90,
Oil_lag_65h,417.17732555760466,2.851024998116043e-90,
Oil_lag_74h,416.93765552394746,3.194536508806025e-90,
Oil_lag_80h,416.5094551595454,3.9145624006333866e-90,
Oil_lag_75h,415.41482064614604,6.582178667328871e-90,
Oil_lag_64h,414.8268157858471,8.701922135428139e-90,
Oil_lag_79h,414.5962324173076,9.708757273548064e-90,
Oil_lag_48h,414.1038449473718,1.226601305952831e-89,8.10039348418137
Oil_lag_63h,414.10092448601677,1.2283035242038404e-89,
Oil_lag_76h,414.02928491130956,1.2708073457537103e-89,
Oil_lag_62h,413.97687027085624,1.3028341162748408e-89,
Oil_lag_61h,413.72305500608536,1.4697186059620161e-89,
Oil_lag_49h,413.51035969304974,1.625924334790569e-89,
Oil_lag_77h,413.2573641495818,1.8334943466807993e-89,
Oil_lag_78h,413.20145862291014,1.8828255642772413e-89,
Oil_lag_60h,412.9735425802262,2.0980635585598056e-89,
Oil_lag_50h,412.5041896811791,2.6219774316863526e-89,
Oil_lag_59h,411.6475423629398,3.938578129549313e-89,
Oil_lag_51h,411.32775657181213,4.584695740865777e-89,
Oil_lag_52h,410.09145013772076,8.248671041384594e-89,
Oil_lag_58h,410.0606677339395,8.370193780040389e-89,
Oil_lag_57h,408.6475034506165,1.6381385549694312e-88,
Oil_lag_53h,408.5933558056281,1.6808363067146337e-88,
Oil_lag_56h,407.5385324691847,2.774801799637437e-88,
Oil_lag_54h,407.53646503521395,2.7775296149814975e-88,
Oil_lag_55h,407.275872040679,3.1437470209625275e-88,
ROI-DA_lag_69h,400.4021892984293,8.25877289464185e-87,
ROI-DA_lag_75h,383.8564504686207,2.1831438382199686e-83,
ROI-DA_lag_93h,347.8329599287263,6.549946885248542e-76,
day_of_year,294.9783503344765,7.140551989357692e-65,
ROI-DA_lag_52h,168.27066970421234,4.545202939560052e-38,
ROI-DA_lag_68h,158.1471170201829,6.634896521022392e-36,
day_of_week,147.94315484083108,1.0164349352089545e-33,
ROI-DA_lag_76h,143.23917732288945,1.0369999778928776e-32,
ROI-DA_lag_92h,127.83329542523191,2.1152873775627643e-29,
ROI-DA_lag_84h,63.657093249613794,1.7018937078960739e-15,
ROI-DA_lag_85h,57.50393567553262,3.780385738075202e-14,
ROI-DA_lag_83h,51.01882479795562,1.0011751349639483e-12,
ROI-DA_lag_60h,49.67750653085204,1.9740519446582005e-12,
ROI-DA_lag_53h,46.94850519977909,7.868102526277405e-12,
ROI-DA_lag_67h,44.55922970207647,2.6445827502923138e-11,
ROI-DA_lag_61h,43.9243820130385,3.650654170480292e-11,
ROI-DA_lag_86h,42.423973822083234,7.825193997884807e-11,
ROI-DA_lag_59h,39.34436300033549,3.7509250294768966e-10,
ROI-DA_lag_77h,35.27022994494988,2.998561705113002e-09,
ROI-DA_lag_82h,34.26048716861498,5.024789536847297e-09,
ROI-DA_lag_62h,31.053708672534153,2.5973514988002313e-08,
ROI-DA_lag_91h,29.44453809837601,5.9346249127334216e-08,
ROI-DA_lag_58h,25.129610695032643,5.483754752082191e-07,
ROI-DA_lag_87h,24.183510977938973,8.945018050983908e-07,
ROI-DA_lag_81h,17.31009605657415,3.210578640363251e-05,
ROI-DA_lag_63h,15.775626678150923,7.19858998772317e-05,
ROI-DA_lag_57h,12.16946820862332,0.0004885830816157555,
ROI-DA_lag_88h,11.963298071531005,0.0005456183593718159,
ROI-DA_lag_80h,7.473002018010588,0.0062778684142702395,
ROI-DA_lag_54h,6.52511350315787,0.0106558560844839,
ROI-DA_lag_64h,6.142690901661285,0.01321757769079673,
ROI-DA_lag_66h,5.482547394139127,0.019233416886603162,
ROI-DA_lag_56h,4.550156884703703,0.03294826001101919,
ROI-DA_lag_78h,3.08947878944366,0.07884103769644861,
ROI-DA_lag_89h,2.4540101993262304,0.11726743929483813,
ROI-DA_lag_90h,1.4970000270847295,0.2211721631274577,
ROI-DA_lag_79h,0.9226953931411328,0.3367993633175568,
ROI-DA_lag_65h,0.38369544588474946,0.5356510108661952,
ROI-DA_lag_55h,0.1021723834521462,0.7492470481851207,
