Feature,Score,p-Value,MAE
ROI-DA_lag_48h,2174.4048957931727,0.0,
ROI-DA_lag_49h,1640.6758168219812,0.0,
ROI-DA_lag_50h,904.1516973417403,1.337183920035378e-187,
hour,823.5699159048563,6.71777467427094e-172,
Gas_lag_50h,523.9352146898016,3.991437267492497e-112,
Gas_lag_51h,523.7542789231578,4.34422048902363e-112,
Gas_lag_49h,523.7415381223157,4.370206691840307e-112,
Gas_lag_48h,523.3662722683881,5.209462060578586e-112,
Gas_lag_52h,523.2149718144284,5.5918182159132165e-112,
ROI-DA_lag_51h,423.87925330917443,1.1859483762547119e-91,
Oil_lag_48h,414.1038449473718,1.226601305952831e-89,8.388652168537007
Oil_lag_49h,413.51035969304974,1.625924334790569e-89,
Oil_lag_50h,412.5041896811794,2.6219774316863526e-89,
Oil_lag_51h,411.32775657181213,4.584695740865777e-89,
Oil_lag_52h,410.09145013771916,8.24867104139186e-89,
day_of_year,294.9783503344765,7.140551989357692e-65,
ROI-DA_lag_52h,168.27066970421234,4.545202939560052e-38,
day_of_week,147.94315484083108,1.0164349352089545e-33,
