Feature,Score,p-Value,MAE
ROI-DA_lag_48h,2326.00046002485,0.0,
ROI-DA_lag_49h,1748.5724016222196,0.0,
ROI-DA_lag_50h,948.5434225437252,6.401506292506483e-197,
hour,893.6329927366278,3.2248827857905364e-186,
Gas_lag_48h,463.53400966985964,5.469151088422179e-100,
Gas_lag_49h,463.3112132759179,6.077770650492008e-100,
Gas_lag_50h,462.97218375882295,7.136376187137286e-100,
Gas_lag_51h,462.25692100158085,1.0013972440160657e-99,
Gas_lag_52h,461.3112203072465,1.5673129293954112e-99,
ROI-DA_lag_51h,428.3316419330861,9.861166712447399e-93,
Oil_lag_48h,339.2136653694787,3.210587178777321e-74,8.457132932643809
Oil_lag_49h,338.64411967400423,4.222527952399824e-74,
Oil_lag_50h,337.77157335984265,6.4250964749353474e-74,
Oil_lag_51h,336.7341151319513,1.0584482190707186e-73,
Oil_lag_52h,335.6031857304088,1.8239989056777453e-73,
day_of_year,215.14672034246925,4.355625833299948e-48,
ROI-DA_lag_52h,157.20405698458472,1.0009741733049762e-35,
day_of_week,126.19410678487307,4.602436377649287e-29,
